n_factors_true,n_factors_final,factor_match,n_true_items,n_weak_items,total_items,N,ratio,kmo_overall,meets_kmo_criterion,meets_ratio_criterion,precision,recall,n_iter
3,3,True,15,9,24,205,8.541666666666666,0.7761257357109562,True,True,1.0,0.9333333333333333,11
3,3,True,9,5,14,151,10.785714285714286,0.6789575016540971,True,True,1.0,1.0,6
2,2,True,12,8,20,228,11.4,0.8676329098567326,True,True,1.0,1.0,9
3,3,True,18,5,23,209,9.08695652173913,0.8343057542630518,True,True,1.0,0.9444444444444444,7
2,2,True,12,8,20,197,9.85,0.8566887954446788,True,True,1.0,1.0,9
3,3,True,9,11,20,237,11.85,0.6687405130413933,True,True,1.0,1.0,12
2,2,True,10,6,16,150,9.375,0.8024035537725157,True,True,1.0,1.0,7
3,3,True,18,14,32,359,11.21875,0.8420903481176079,True,True,1.0,1.0,15
3,3,True,15,11,26,307,11.807692307692308,0.8311298355327771,True,True,1.0,1.0,12
3,3,True,12,12,24,185,7.708333333333333,0.7160682911150832,True,True,1.0,1.0,13
3,3,True,18,15,33,320,9.696969696969697,0.8230652588268855,True,True,1.0,1.0,16
3,3,True,15,5,20,209,10.45,0.8129536202184352,True,True,1.0,1.0,6
3,3,True,12,7,19,182,9.578947368421053,0.7258674252832931,True,True,1.0,1.0,8
2,2,True,8,11,19,199,10.473684210526315,0.7491093512828517,True,True,1.0,1.0,12
3,3,True,18,7,25,243,9.72,0.8349602929590029,True,True,1.0,0.9444444444444444,9
3,3,True,15,11,26,215,8.26923076923077,0.7667373878876814,True,True,1.0,1.0,12
3,3,True,9,8,17,163,9.588235294117647,0.6725417876094729,True,True,1.0,1.0,9
2,2,True,8,13,21,185,8.80952380952381,0.701276292810635,True,True,1.0,0.75,16
3,3,True,12,15,27,193,7.148148148148148,0.7512094285136094,True,True,1.0,1.0,16
3,3,True,18,15,33,318,9.636363636363637,0.8229153339582618,True,True,1.0,1.0,16
2,2,True,6,6,12,150,12.5,0.7041696575482481,True,True,1.0,1.0,7
3,3,True,18,7,25,222,8.88,0.8349142171630415,True,True,1.0,1.0,8
3,3,True,9,12,21,178,8.476190476190476,0.6660165484577709,True,True,1.0,1.0,13
2,2,True,12,12,24,267,11.125,0.837266977243654,True,True,1.0,0.9166666666666666,14
3,3,True,12,9,21,181,8.619047619047619,0.7433052902299071,True,True,1.0,1.0,10
3,3,True,15,11,26,259,9.961538461538462,0.8296644127438063,True,True,1.0,1.0,12
2,2,True,10,12,22,233,10.590909090909092,0.7945481910703086,True,True,1.0,0.9,14
3,3,True,12,9,21,180,8.571428571428571,0.709161115631477,True,True,1.0,1.0,10
2,2,True,12,12,24,189,7.875,0.822536415578738,True,True,1.0,1.0,13
3,3,True,15,7,22,160,7.2727272727272725,0.7935070510135136,True,True,1.0,1.0,8
2,2,True,10,5,15,150,10.0,0.8020340850790746,True,True,1.0,0.9,7
2,2,True,12,14,26,273,10.5,0.8211827147925037,True,True,1.0,1.0,15
2,2,True,10,12,22,245,11.136363636363637,0.8399794986269747,True,True,1.0,1.0,13
3,3,True,18,14,32,276,8.625,0.8053471831610044,True,True,1.0,0.9444444444444444,16
2,2,True,10,8,18,157,8.722222222222221,0.7841446245469216,True,True,1.0,1.0,9
2,2,True,10,8,18,204,11.333333333333334,0.7900822437327537,True,True,1.0,1.0,9
2,2,True,12,5,17,159,9.352941176470589,0.8169835762249927,True,True,1.0,1.0,6
3,3,True,12,12,24,175,7.291666666666667,0.7044635289360985,True,True,1.0,1.0,13
3,3,True,12,13,25,211,8.44,0.7442796563344374,True,True,1.0,1.0,14
2,2,True,6,11,17,150,8.823529411764707,0.7056286434285315,True,True,1.0,0.8333333333333334,13
2,2,True,10,5,15,150,10.0,0.8328173253974879,True,True,1.0,1.0,6
3,3,True,18,15,33,285,8.636363636363637,0.8170305321726726,True,True,1.0,0.9444444444444444,17
3,3,True,18,9,27,230,8.518518518518519,0.8469790297858742,True,True,1.0,0.9444444444444444,11
3,3,True,15,7,22,187,8.5,0.7885927103321804,True,True,1.0,0.9333333333333333,9
3,3,True,15,14,29,294,10.137931034482758,0.8153522981643366,True,True,1.0,1.0,15
3,3,True,15,6,21,227,10.80952380952381,0.7965544102469473,True,True,1.0,0.9333333333333333,8
3,3,True,9,13,22,191,8.681818181818182,0.6301312880486597,True,True,1.0,1.0,14
3,3,True,15,14,29,237,8.172413793103448,0.7710360418416534,True,True,1.0,0.8666666666666667,17
2,2,True,12,15,27,289,10.703703703703704,0.8371877810357337,True,True,1.0,0.8333333333333334,18
2,2,True,10,14,24,217,9.041666666666666,0.7816363947373841,True,True,1.0,1.0,15
3,3,True,18,15,33,276,8.363636363636363,0.830922886071906,True,True,1.0,1.0,16
3,3,True,18,13,31,248,8.0,0.8179596118086135,True,True,1.0,1.0,14
3,3,True,12,9,21,180,8.571428571428571,0.7266326930776433,True,True,1.0,1.0,10
3,3,True,9,5,14,150,10.714285714285714,0.6288835846343175,True,True,1.0,0.8888888888888888,7
